title,orignal_price,Current_price,Shipping
"Soundcore Motion Q Portable Bluetooth Speaker by Anker, 360 degree Speaker with Dual 8W Drivers for Louder All-Around Sound, and IPX7 Waterproof for Outdoor Activities and Parties","1,259.00",751.00,FREE Shipping
Media-Tech MT-854 Subwoofer 2.1 - Black,"1,599.00",999.00,FREE Shipping
EWA W1 Portable Wireless SpeAKer - Rose Gold,609.00,500.50,FREE Shipping
Earise S7 Wireless SpeAKer - Black Red,"1,190.00",410.55,FREE Shipping
"WEKOME (WK) Desktop mini Bluetooth speaker D6 (Black). Small speaker (palm-sized). Clear sound quality (500 mAh for 4-5 hours), transmission distance (10M), maximum support 32G TF card.",182.00,109.00,FREE Shipping
Ykpromise YK-H2 Desktop Bluetooth Speaker - Black,"1,079.00",434.09,FREE Shipping
Google - Home Hub with Google Assistant - Charcoal,"4,199.00","3,449.00",FREE Shipping
Nillkin Cozy MC3 Pro - Portable Wireless Bluetooth Power Bank Speaker with Colorful Light - White,"1,133.00",820.00,FREE Shipping
Remax RB-M50 Tianyue Wireless Bluetooth 5.0 Speaker with Alarm Clock - Yellow,476.00,391.00,FREE Shipping
"Creative NUNO Micro Bluetooth Wireless Speaker, with fabric cover - Grey","1,208.00","1,107.55",FREE Shipping
Yamaha SR-C20A Compact Sound Bar with Built-in Subwoofer and Bluetooth,"3,472.00","2,852.00",FREE Shipping
Bose SoundLink Color 2 Bluetooth Speaker - Aquatic Blue,"3,495.00","3,267.84",FREE Shipping
WK Design ST600 Wired and Wireless Bluetooth Speaker - Black,469.00,385.50,FREE Shipping
Nillkin Traveler W2 - TWS Portable Bluetooth Speaker - Bluetooth 5.0 - IPX7 Water-Resistant - Black,"1,341.00",938.50,FREE Shipping
Nillkin X-MAN - Bluetooth 4.0 IPX4 Splash-proof Sound Box with 5200mAh Power Bank - Red,915.00,665.00,FREE Shipping
NILLKIN Bullet S2 - Mini Wireless Speaker with Mic - Orange,471.00,328.00,FREE Shipping
PC-1 Mini Wireless Speaker Mushroom - Brown,"1,862.00","1,529.50",FREE Shipping
Speedlink 8001-GN Snappy Stereo Speakers - Green,165.00,75.00,FREE Shipping
"X-Loud Multifunction Speaker,X200",630.00,517.50,FREE Shipping
X-Loud LD-A6060BT Bluetooth Subwoofer Speaker - Black,"1,125.00",862.50,FREE Shipping
Music Apollo B2 Classic Car Wireless SpeAKer - Multi Color,448.00,345.00,FREE Shipping
BY 3070 Wireless SpeaKer - Multi Color,609.00,500.50,FREE Shipping
Kivee KV-MW01 Mini Bluetooth Speaker  - White,448.00,353.00,FREE Shipping
Kivee KV-MW08 Mini Bluetooth Speaker  - Pink,448.00,360.50,FREE Shipping
Kivee KV-MW08 Mini Bluetooth SpeAKer  - Turquoise,448.00,368.00,FREE Shipping
Bang and Olufsen 1280373 Beolit 17 PortaBle Bluetooth Speaker - Stone Grey,"11,843.00","9,728.50",FREE Shipping
WK Design ST550 Wired and Wireless Bluetooth Speaker - Black,630.00,417.50,FREE Shipping
Borofone BR4 Horizon Sports Wireless Speaker - Black,224.00,184.00,FREE Shipping
BoomPods Aquapod Waterproof Bluetooth Speaker - Black - AQPDGR,"1,133.00",530.71,FREE Shipping
Media Tech MT-02 Bluetooth Speaker - Orange,479.00,399.00,FREE Shipping
JBL PRX818XLF 18 Inch Self-Powered Extended Low-Frequency Subwoofer System With Wi-Fi - Black,"30,786.00","26,388.00",FREE Shipping
Moxom MX-SK19 Wireless Bluetooth Speaker - Black,196.00,170.00,FREE Shipping
Moxom MX-SK19 Wireless Bluetooth Speaker - Orange,308.00,253.00,FREE Shipping
Moxom MX-SK18 Wireless Bluetooth Speakers - Black,322.00,264.50,FREE Shipping
"Soundcore Mini 2 Pocket Bluetooth IPX7 Waterproof Outdoor Speaker, Powerful Sound with Enhanced Bass",875.00,719.00,FREE Shipping
XO-P2 Bluetooth Speaker - White,660.00,632.50,FREE Shipping
Hoco BS30 - New Moon Sports Wireless Speaker - Grey,295.00,198.97,FREE Shipping
JBL Harman Onyx Studio 6 Waterproof Bluetooth speaker - Black,"5,833.00","5,208.00",FREE Shipping
OneDer V9 Portable Square Wireless Speaker With 4 Metal Bases And Silicone Handle - Black Pink,560.00,331.20,FREE Shipping
MEDIaTECH 2.1 Bluetooth speaker MT-N871,"1,960.00","1,550.00",FREE Shipping
JOYROOM Jr-M03 Wireless Speakers For Tablets And Mobile Phones - Green,483.00,310.50,FREE Shipping
JBL GO2-GD/99 Portable Wireless Bluetooth Speaker - Pearl Champagne,"1,350.00",750.00,FREE Shipping
"LAvvento (SP337)Portable Bluetooth Speaker with Shoulder Strap, Built-in Mic, Aux  Black",294.00,231.00,FREE Shipping
